timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,is_cheating
35229.0,1,1,0.0,0.5,0.0,10.5,0,0,0,64834.23606044622,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35288.0,1,1,0.0,0.4600856791042168,1.0,366.5,0,0,0,64898.508079217725,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35348.0,1,1,0.0,0.4872135560309543,0.0,40.0,0,0,0,64906.33074885576,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35407.0,1,1,2.0,0.4197211015767593,0.0,63.5,0,0,0,7552.600080444934,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35466.0,0,0,-1.0,0.0,-1.0,0.0,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,153.2351134694656,1000.0,0
35525.0,1,1,0.0,0.4595855051729731,0.0,22.0,0,0,0,7418.011602110086,2.0,2.0,0,0,0,0,0,0,0,0,69.8927750200262,1000.0,0
35585.0,1,1,0.0,0.5068968775248517,0.0,14.5,0,0,0,64783.93274808868,1.0,2.0,0,0,0,0,0,0,0,0,73.76313442364011,1000.0,0
35644.0,1,1,0.0,0.5107833728492333,0.0,31.5,0,0,0,7018.795244379894,2.0,2.0,0,0,0,0,0,0,0,0,75.28612089887484,1000.0,0
35703.0,1,1,0.0,0.5067014285576765,0.0,23.0,0,0,0,64802.586514314535,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35762.0,1,1,0.0,0.4602536855655784,0.0,114.0,0,0,0,5362.820963769711,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35822.0,1,1,0.0,0.4642261445373478,1.0,340.5,0,0,0,64827.45925384888,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35881.0,1,1,0.0,0.4878537843702678,1.0,192.5,0,0,0,64838.754474750254,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35940.0,1,1,0.0,0.462098282405204,1.0,255.0,0,0,0,64836.29065120075,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
35999.0,1,1,0.0,0.4878537843702678,1.0,203.0,0,0,0,64831.834631157806,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36059.0,1,1,0.0,0.4251281512134058,0.0,10.5,0,0,0,64972.57875142429,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36118.0,1,1,0.0,0.5304890747626757,0.0,35.0,0,0,0,4614.40455786338,2.0,2.0,0,0,0,0,0,0,0,0,99.20181449953424,1000.0,0
36177.0,1,1,0.0,0.4778624178793054,0.0,23.5,0,0,0,4668.882700644828,2.0,2.0,0,0,0,0,0,0,0,0,95.7078889120432,1000.0,0
36236.0,1,1,0.0,0.5304890747626757,0.0,29.0,0,0,0,4477.772504547899,2.0,2.0,0,0,0,0,0,0,0,0,97.082439194738,1000.0,0
36296.0,1,1,0.0,0.4301525136869306,0.0,18.0,0,0,0,5369.641349394271,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36355.0,1,1,0.0,0.4927856059980385,0.0,45.0,0,0,0,5090.756902144796,2.0,2.0,0,0,0,0,0,0,0,0,148.12494725737457,1000.0,0
36414.0,1,1,0.0,0.4780238355252975,0.0,16.0,0,0,0,4480.440034304497,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36473.0,1,1,0.0,0.4307207471099462,0.0,3.5,0,0,0,64791.67314904714,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36533.0,1,1,0.0,0.5161331636534808,0.0,1.5,0,0,0,5122.330932478352,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36592.0,1,1,0.0,0.4954150840221494,1.0,189.5,0,0,0,4363.527172290801,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36651.0,1,1,0.0,0.4742436749151495,1.0,228.0,0,0,0,64805.99981186939,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36710.0,1,1,0.0,0.4526787302125926,1.0,210.5,0,0,0,64806.808088945065,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36770.0,1,1,0.0,0.5,1.0,177.0,0,0,0,4034.412190652078,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
36829.0,1,1,0.0,0.5214500094539749,1.0,361.5,0,0,0,3996.878468388857,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,1
36888.0,1,1,0.0,0.4563413444784642,0.0,49.0,0,0,0,64809.28055688521,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,1
36947.0,1,1,0.0,0.5076730825668095,1.0,356.5,0,0,0,4263.01068246548,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,1
37007.0,1,1,0.0,0.4759404763377188,2.0,591.5,0,0,0,64834.6514692576,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,1
37066.0,1,1,0.0,0.4501135750932996,1.0,407.0,0,0,0,4629.521570019603,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,1
37125.0,1,1,0.0,0.4216370213557839,1.0,351.5,0,0,0,64945.47949703775,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,1
37184.0,1,1,2.0,0.4007147826608412,1.0,432.0,0,0,0,64902.19070811043,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37244.0,1,1,0.0,0.4304893737566947,1.0,271.0,0,0,0,64842.61847487889,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37303.0,1,1,2.0,0.3949218944959795,1.0,184.0,0,0,0,64987.74184993444,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37362.0,1,1,2.0,0.350347944635714,0.0,95.0,0,0,0,5264.764331818649,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37421.0,1,1,2.0,0.3949218944959795,0.0,14.5,0,0,0,4837.185331970412,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37481.0,1,1,2.0,0.3771236166328253,0.0,17.5,0,0,0,64938.23948575135,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37540.0,1,1,2.0,0.4191368221424547,0.0,36.5,0,0,0,4903.279799299602,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37599.0,1,1,0.0,0.4307207471099462,1.0,197.5,0,0,0,64974.54822284044,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37658.0,1,1,0.0,0.4789131426105757,0.0,66.5,0,0,0,5180.879810864132,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37718.0,1,1,0.0,0.5,1.0,195.0,0,0,0,64900.92437096888,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37777.0,1,1,2.0,0.4130473436642682,0.0,154.5,0,0,0,64896.15064682739,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37836.0,1,1,2.0,0.4191368221424547,1.0,215.5,0,0,0,64896.16764164004,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37895.0,1,1,0.0,0.4290939543056062,1.0,235.5,0,0,0,5184.61029472823,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
37955.0,1,1,0.0,0.4472135954999579,1.0,161.0,0,0,0,5073.125855869144,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
38014.0,1,1,2.0,0.3974827858609251,0.0,106.0,0,0,0,64998.36298074372,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
38073.0,1,1,0.0,0.4396686822891455,0.0,78.5,0,0,0,5139.622507867202,2.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
38132.0,1,1,0.0,0.4472135954999579,0.0,26.5,0,0,0,64969.44666200414,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
38192.0,1,1,0.0,0.4883974918974739,0.0,65.5,0,0,0,64992.24884725967,1.0,2.0,0,0,0,0,0,0,0,0,1000.0,1000.0,0
